epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2912.46,0,71.0059,0,0,0,0,0,0,332.223,0,0.000663989,0.000663989,0.000663989
2,5520.7,0,15.2092,0,0,0,0,0,0,597843,0,0.00130431,0.00130431,0.00130431
3,7982.17,0,0.55729,0,0,0,0,0,0,0.06137,0,0.00191823,0.00191823,0.00191823
4,10453.5,0,0.00407,0,0,0,0,0,0,0.00105,0,0.0018812,0.0018812,0.0018812
5,13035.5,0,0.00013,0,0,0,0,0,0,2e-05,0,0.0018416,0.0018416,0.0018416
6,15568.6,0,0,0,0,0,0,0,0,1e-05,0,0.001802,0.001802,0.001802
7,18114,0,0,0,0,0,0,0,0,0,0,0.0017624,0.0017624,0.0017624
8,20686.2,0,0,0,0,0,0,0,0,0.00712,0,0.0017228,0.0017228,0.0017228
